first,last,user,match_request,time_since_last
1455227870.03676,1455227919.04559,282,false,0
1455228919.5491,1455229118.23072,283,true,0
1455231434.46778,1455231435.62381,284,false,1974.0808701515198
1455229182.73892,1455229623.73413,285,true,0
1455229213.75515,1455229214.67902,286,false,0
1455229401.84283,1455229402.23049,287,false,0
1455229427.1485,1455229740.85629,288,true,0
1455229999.59251,1455230127.28755,289,false,0
1455231447.25494,1455232106.77785,290,true,1174.201050043106
1455230807.71104,1455230885.13111,291,false,0
1455233766.63036,1455233775.45838,292,false,2171.4939999580383
1455231440.44056,1455231849.27689,293,true,0
1455231511.72361,1455231831.83877,294,false,0
1455231605.70283,1455232757.18052,295,true,0
1455231984.0296,1455232299.04114,296,true,0
1455232238.36432,1455232577.68527,297,true,0
1455232418.65785,1455232487.22606,298,true,0
1455233076.09296,1455233662.39653,299,true,0
1455233094.78805,1455233099.26442,301,false,0
1455234101.14203,1455234226.06434,302,false,0
1455237456.58529,1455237798.42151,212,false,2471.312929868698
1455246111.47072,1455246155.6321,168,false,5793.248450040817
1455258464.74443,1455258519.54459,310,false,7174.912170171738
1455247809.35502,1455247824.96564,313,false,2624.423059940338
1455319226.16955,1455319226.43479,1,false,2091.421040058136
1455316181.2158,1455320190.42078,,false,1035.182510137558
1455258464.74443,1455258519.54459,310,false,7174.912170171738
1455316181.2158,1455320190.42078,,false,1035.182510137558
1455316181.2158,1455320190.42078,,false,1035.182510137558
1455261932.73021,1455261987.44223,284,true,26656.172510147095
1455281109.30316,1455282954.55444,41,true,14643.098549842834
1455269169.67493,1455269197.44028,322,false,4693.715330123901
1455298811.95488,1455298856.85845,2,false,15239.860769987106
1455277605.45291,1455277606.50764,328,false,4736.629879951477
1455277605.45291,1455277606.50764,328,false,4736.629879951477
1455277605.45291,1455277606.50764,328,false,4736.629879951477
1455279577.16453,1455279918.58815,337,true,900.9512701034546
1455279726.45397,1455280428.67102,320,false,2399.0927500724792
1455280149.03007,1455280571.10695,198,true,2821.0816700458527
1455280400.35754,1455280414.26886,102,false,3175.2940199375153
1455280789.38256,1455282348.94611,338,true,1012.561840057373
1455281109.30316,1455282954.55444,41,true,14643.098549842834
1455284342.35583,1455284355.38674,336,false,2450.194939851761
1455283882.83914,1455283882.83914,223,false,1962.0090498924255
1455282430.65015,1455282470.49931,333,false,9297.23040008545
1455282496.30177,1455282887.69618,25,true,8162.23811006546
1455298811.95488,1455298856.85845,2,false,15239.860769987106
1455283882.83914,1455283882.83914,223,false,1962.0090498924255
1455284342.35583,1455284355.38674,336,false,2450.194939851761
1455286593.01944,1455286593.60793,274,false,18129.354079961777
1455287072.4386,1455287094.22748,341,true,2115.843320131302
1455290337.71961,1455290609.74273,349,true,1219.1456599235535
1455306674.06036,1455306698.51902,355,false,9214.004260063171
1455291778.9064,1455291839.36458,356,false,989.618469953537
1455295685.41258,1455295685.70829,359,false,1599.1637001037598
1455293235.07989,1455293349.53718,305,false,52178.48066997528
1455295685.41258,1455295685.70829,359,false,1599.1637001037598
1455294441.99541,1455294454.34426,363,false,1834.2344498634338
1455295685.41258,1455295685.70829,359,false,1599.1637001037598
1455295726.48818,1455296009.42349,358,true,4624.118099927902
1455300219.40978,1455300466.50529,138,true,3636.888950109482
1455300651.59935,1455300658.57626,335,false,2047.202719926834
1455297364.56424,1455297578.8345,319,true,40712.001829862595
1455306674.06036,1455306698.51902,355,false,9214.004260063171
1455298071.61698,1455298499.89096,214,false,46779.5034301281
1455319226.16955,1455319226.43479,1,false,2091.421040058136
